start_date,priority,experience_cat,team_size,budget,type,status,end_date
2025-04-01,low,high,9,18900,feature,completed,2025-05-11
2025-04-01,low,medium,5,65600,bug,completed,2025-05-13
2025-04-01,medium,medium,5,55600,bug,completed,2025-04-17
2025-04-01,high,medium,3,65500,doc,completed,2025-05-08
2025-04-01,low,low,4,41400,bug,completed,2025-05-01
2025-04-01,medium,low,8,58900,bug,completed,2025-04-09
2025-04-01,medium,low,3,53200,doc,completed,2025-04-18
2025-04-01,medium,high,6,44900,chore,completed,2025-04-14
2025-04-01,low,medium,6,52200,bug,completed,2025-04-08
2025-04-01,low,medium,5,37400,feature,completed,2025-04-07
2025-04-01,low,low,5,54800,chore,completed,2025-04-06
2025-04-01,low,high,6,49400,bug,completed,2025-05-08
2025-04-01,high,low,4,34500,feature,completed,2025-04-22
2025-04-01,high,low,5,39400,bug,completed,2025-04-23
2025-04-01,low,low,9,60600,doc,completed,2025-04-04
2025-04-02,medium,low,7,48600,chore,completed,2025-06-01
2025-04-02,low,medium,7,60700,doc,completed,2025-05-07
2025-04-02,medium,medium,7,45100,feature,completed,2025-04-19
2025-04-02,medium,low,5,20800,chore,completed,2025-05-02
2025-04-02,medium,medium,6,69900,chore,completed,2025-04-20
2025-04-02,low,high,7,54100,bug,completed,2025-04-26
2025-04-02,low,low,7,41700,bug,completed,2025-04-10
2025-04-02,medium,high,5,39200,chore,completed,2025-05-05
2025-04-02,medium,high,6,94300,feature,completed,2025-04-30
2025-04-02,high,high,5,64900,feature,completed,2025-05-22
2025-04-02,medium,medium,7,67200,bug,completed,2025-04-23
2025-04-02,medium,medium,8,59200,bug,completed,2025-04-25
2025-04-02,medium,low,6,55400,bug,completed,2025-04-30
2025-04-02,low,high,6,67700,bug,completed,2025-05-29
2025-04-02,medium,medium,5,65600,bug,completed,2025-04-18
2025-04-02,medium,low,6,55000,chore,completed,2025-04-08
2025-04-02,medium,high,5,56200,feature,completed,2025-05-09
2025-04-02,high,medium,6,55900,doc,completed,2025-04-28
2025-04-02,medium,low,9,56100,feature,completed,2025-04-26
2025-04-02,low,low,5,68600,bug,completed,2025-06-01
2025-04-02,high,high,4,60300,bug,completed,2025-04-20
2025-04-02,low,medium,14,29800,bug,completed,2025-06-01
2025-04-02,medium,high,6,65100,bug,completed,2025-04-05
2025-04-02,medium,medium,6,24000,bug,completed,2025-04-30
2025-04-02,high,medium,8,35400,bug,completed,2025-04-14
2025-04-02,high,medium,7,59600,feature,completed,2025-04-14
2025-04-02,medium,medium,5,37100,feature,completed,2025-04-15
2025-04-02,medium,low,7,51200,doc,completed,2025-04-21
2025-04-02,high,high,5,62600,doc,completed,2025-04-25
2025-04-02,medium,high,5,43000,bug,completed,2025-05-22
2025-04-02,low,medium,7,28300,bug,completed,2025-05-02
2025-04-02,low,medium,7,51500,bug,completed,2025-04-08
2025-04-02,low,high,6,33500,feature,completed,2025-05-01
2025-04-02,medium,high,5,42700,feature,completed,2025-04-26
2025-04-02,high,medium,6,57700,bug,completed,2025-04-08
2025-04-02,medium,medium,9,67500,feature,completed,2025-04-08
2025-04-02,medium,low,9,48500,chore,completed,2025-05-07
2025-04-03,high,low,6,67200,bug,completed,2025-04-25
2025-04-03,high,medium,4,63300,doc,completed,2025-05-20
2025-04-03,medium,medium,4,31700,bug,completed,2025-05-06
2025-04-03,medium,medium,7,63200,bug,completed,2025-04-29
2025-04-03,medium,high,6,49000,bug,completed,2025-04-29
2025-04-03,medium,high,7,36400,feature,completed,2025-04-08
2025-04-03,medium,medium,6,42600,feature,completed,2025-06-02
2025-04-03,high,low,5,64600,bug,completed,2025-04-19
2025-04-03,high,low,8,46000,bug,completed,2025-04-13
2025-04-03,medium,medium,6,55700,chore,completed,2025-04-15
2025-04-03,low,medium,9,52400,bug,completed,2025-05-12
2025-04-03,medium,medium,6,48000,feature,completed,2025-05-28
2025-04-03,low,medium,7,65300,feature,completed,2025-04-19
2025-04-03,medium,medium,5,22700,bug,completed,2025-05-30
2025-04-03,medium,medium,4,80000,feature,completed,2025-04-18
2025-04-03,high,medium,9,50300,feature,completed,2025-05-09
2025-04-03,low,medium,6,54300,bug,completed,2025-04-16
2025-04-03,medium,medium,5,41900,chore,completed,2025-04-25
2025-04-03,medium,medium,3,40100,bug,completed,2025-04-14
2025-04-03,low,low,7,35900,bug,completed,2025-06-02
2025-04-03,low,medium,8,46800,bug,completed,2025-04-13
2025-04-03,medium,medium,7,41400,bug,completed,2025-04-07
2025-04-03,medium,high,8,40700,feature,completed,2025-04-15
2025-04-03,medium,high,5,50400,bug,completed,2025-05-11
2025-04-03,high,medium,4,32800,bug,completed,2025-05-23
2025-04-04,medium,high,4,66300,feature,completed,2025-04-26
2025-04-04,medium,medium,5,60200,bug,completed,2025-04-25
2025-04-04,low,high,7,18700,bug,completed,2025-04-28
2025-04-04,low,medium,5,25200,feature,completed,2025-06-03
2025-04-04,medium,low,5,73200,feature,completed,2025-04-14
2025-04-04,medium,medium,4,61900,doc,completed,2025-04-15
2025-04-04,high,medium,6,62900,chore,completed,2025-04-17
2025-04-04,medium,medium,5,48200,chore,completed,2025-04-18
2025-04-04,medium,medium,3,69800,bug,completed,2025-05-23
2025-04-04,low,medium,7,40500,bug,completed,2025-04-30
2025-04-04,low,low,6,29000,bug,completed,2025-05-02
2025-04-04,high,low,3,25100,feature,completed,2025-04-28
2025-04-05,medium,low,5,59800,chore,completed,2025-04-18
2025-04-05,low,low,5,69400,feature,completed,2025-04-22
2025-04-05,medium,low,6,53400,feature,completed,2025-06-04
2025-04-05,medium,medium,5,73900,bug,completed,2025-05-11
2025-04-05,medium,medium,6,56800,chore,completed,2025-04-22
2025-04-05,high,medium,5,58300,bug,completed,2025-04-30
2025-04-05,high,medium,5,15100,bug,completed,2025-05-06
2025-04-05,medium,high,7,34000,bug,completed,2025-05-10
2025-04-05,medium,medium,7,41800,bug,completed,2025-04-16
2025-04-05,medium,low,8,18700,doc,completed,2025-06-04
2025-04-05,high,medium,7,18300,doc,completed,2025-05-17
2025-04-05,high,medium,9,52200,feature,completed,2025-04-23
2025-04-05,low,medium,4,51200,feature,completed,2025-04-21
2025-04-05,high,medium,6,48900,bug,completed,2025-04-28
2025-04-05,high,high,8,55900,bug,completed,2025-04-19
2025-04-05,medium,medium,4,64200,bug,completed,2025-04-18
2025-04-05,medium,high,7,53300,bug,completed,2025-05-03
2025-04-05,high,medium,8,62700,bug,completed,2025-05-05
2025-04-05,medium,high,5,53700,bug,completed,2025-04-23
2025-04-05,low,medium,3,74300,chore,completed,2025-04-25
2025-04-05,medium,medium,6,48800,bug,completed,2025-06-02
2025-04-05,high,medium,4,28800,feature,completed,2025-05-03
2025-04-05,high,medium,6,19300,doc,completed,2025-04-27
2025-04-05,high,low,9,52400,bug,completed,2025-05-02
2025-04-05,medium,medium,6,59700,feature,completed,2025-05-30
2025-04-05,medium,medium,6,24600,bug,completed,2025-05-02
2025-04-06,high,low,4,50300,feature,completed,2025-04-29
2025-04-06,low,low,8,66800,bug,completed,2025-04-20
2025-04-06,high,medium,5,53100,bug,completed,2025-05-22
2025-04-06,low,medium,6,47900,bug,completed,2025-05-09
2025-04-06,high,high,4,42300,bug,completed,2025-04-21
2025-04-06,high,medium,7,35300,bug,completed,2025-05-17
2025-04-06,medium,high,7,65600,bug,completed,2025-04-19
2025-04-06,medium,low,6,22400,bug,completed,2025-04-21
2025-04-07,medium,low,5,69600,bug,completed,2025-04-15
2025-04-07,medium,low,8,57000,bug,completed,2025-04-14
2025-04-07,low,low,5,33800,feature,completed,2025-06-06
2025-04-07,medium,high,3,45300,bug,completed,2025-04-24
2025-04-07,medium,medium,7,44700,feature,completed,2025-04-29
2025-04-07,high,medium,5,62500,bug,completed,2025-04-18
2025-04-07,medium,low,8,77200,bug,completed,2025-05-03
2025-04-07,medium,low,3,43500,chore,completed,2025-04-20
2025-04-07,medium,low,7,26800,feature,completed,2025-04-15
2025-04-07,medium,high,8,29700,bug,completed,2025-04-29
2025-04-07,high,medium,8,74400,bug,completed,2025-04-27
2025-04-07,medium,low,5,38300,bug,completed,2025-04-15
2025-04-07,high,medium,7,48500,feature,completed,2025-05-12
2025-04-07,medium,medium,7,50500,feature,completed,2025-04-13
2025-04-07,medium,medium,5,28300,bug,completed,2025-04-25
2025-04-07,medium,high,7,44000,bug,completed,2025-04-25
2025-04-07,medium,medium,3,69000,feature,completed,2025-04-13
2025-04-07,high,medium,9,74000,bug,completed,2025-04-25
2025-04-07,low,low,7,15200,bug,completed,2025-05-21
2025-04-07,medium,medium,8,39900,doc,completed,2025-04-27
2025-04-07,high,medium,8,32100,chore,completed,2025-05-15
2025-04-07,high,high,2,68000,doc,completed,2025-05-02
2025-04-07,medium,low,4,54700,feature,completed,2025-05-10
2025-04-07,medium,high,6,57100,bug,completed,2025-04-25
2025-04-07,medium,medium,10,52000,chore,completed,2025-04-11
2025-04-07,medium,medium,4,43400,doc,completed,2025-04-15
2025-04-07,medium,medium,5,48200,bug,completed,2025-05-12
2025-04-07,low,low,5,43300,feature,completed,2025-05-03
2025-04-07,low,medium,6,67100,bug,completed,2025-04-23
2025-04-07,low,medium,7,64300,bug,completed,2025-04-11
2025-04-07,low,low,6,73000,bug,completed,2025-05-12
2025-04-08,low,low,7,61200,doc,completed,2025-06-07
2025-04-08,medium,medium,5,25900,bug,completed,2025-04-26
2025-04-08,high,low,7,81100,bug,completed,2025-05-21
2025-04-08,medium,high,8,47500,feature,completed,2025-04-15
2025-04-08,high,medium,5,65200,bug,completed,2025-05-11
2025-04-08,medium,high,3,40400,bug,completed,2025-05-10
2025-04-08,medium,high,4,39300,bug,completed,2025-04-23
2025-04-08,medium,medium,8,44900,feature,completed,2025-04-26
2025-04-08,medium,medium,10,59600,bug,completed,2025-04-21
2025-04-08,medium,medium,7,34300,bug,completed,2025-04-21
2025-04-08,medium,medium,7,47200,feature,completed,2025-05-12
2025-04-08,medium,medium,6,37600,doc,completed,2025-04-22
2025-04-08,medium,low,6,36600,feature,completed,2025-06-07
2025-04-08,high,medium,12,51800,bug,completed,2025-05-03
2025-04-08,high,medium,9,45400,bug,cancelled,2025-04-28
2025-04-08,high,low,4,50300,feature,completed,2025-05-09
2025-04-08,high,high,6,43800,bug,completed,2025-05-11
2025-04-08,high,medium,6,39500,feature,completed,2025-04-23
2025-04-08,low,low,5,53100,chore,completed,2025-04-22
2025-04-08,high,high,10,30000,bug,completed,2025-05-11
2025-04-08,high,medium,7,49300,feature,completed,2025-05-30
2025-04-08,medium,medium,4,54900,feature,completed,2025-04-19
2025-04-08,medium,medium,3,46300,feature,completed,2025-04-30
2025-04-08,medium,medium,4,53400,bug,completed,2025-04-12
2025-04-08,high,low,7,60200,bug,completed,2025-05-06
2025-04-08,medium,high,6,64500,feature,completed,2025-04-23
2025-04-08,high,medium,10,56000,feature,completed,2025-04-17
2025-04-08,low,medium,6,56000,chore,completed,2025-04-14
2025-04-08,low,low,2,41200,chore,completed,2025-04-13
2025-04-08,low,medium,5,68900,feature,completed,2025-04-11
2025-04-08,medium,low,7,39700,bug,completed,2025-05-14
2025-04-08,high,low,6,34100,bug,completed,2025-05-07
2025-04-08,low,low,9,57700,chore,completed,2025-04-23
2025-04-08,medium,high,6,51600,bug,completed,2025-06-07
2025-04-08,low,low,6,54000,bug,completed,2025-04-29
2025-04-08,medium,high,8,56400,bug,completed,2025-05-03
2025-04-08,medium,high,9,41800,bug,completed,2025-05-19
2025-04-08,low,medium,6,52800,bug,completed,2025-05-22
2025-04-08,low,high,6,56600,chore,completed,2025-04-17
2025-04-08,medium,medium,9,33400,bug,completed,2025-04-21
2025-04-08,medium,high,4,48600,chore,completed,2025-04-27
2025-04-08,medium,medium,6,58200,chore,completed,2025-06-06
2025-04-08,low,high,6,36000,bug,completed,2025-05-11
2025-04-09,medium,high,6,67500,feature,completed,2025-05-01
2025-04-09,medium,high,7,44700,feature,completed,2025-05-31
2025-04-09,medium,low,9,79700,bug,completed,2025-05-06
2025-04-09,low,low,9,29600,bug,completed,2025-06-08
2025-04-09,high,medium,5,35400,doc,completed,2025-04-19
2025-04-09,medium,low,7,59400,chore,completed,2025-04-14
2025-04-09,medium,low,6,58200,feature,completed,2025-04-23
2025-04-09,medium,low,2,37000,chore,completed,2025-04-25
2025-04-09,high,medium,5,27100,feature,completed,2025-04-28
2025-04-09,medium,high,3,42200,bug,completed,2025-04-16
2025-04-09,high,medium,5,41400,bug,completed,2025-04-24
2025-04-09,medium,medium,6,29400,feature,completed,2025-05-11
2025-04-09,high,medium,6,57800,bug,completed,2025-05-08
2025-04-09,medium,low,9,66400,chore,completed,2025-04-14
2025-04-09,medium,high,5,43200,feature,completed,2025-05-05
2025-04-09,medium,medium,10,53600,bug,completed,2025-05-05
2025-04-09,medium,high,8,47800,bug,completed,2025-04-16
2025-04-09,high,medium,5,57900,feature,completed,2025-05-15
2025-04-09,medium,medium,6,56100,bug,completed,2025-04-21
2025-04-09,low,medium,6,67500,feature,completed,2025-04-23
2025-04-09,medium,medium,6,70000,feature,completed,2025-05-11
2025-04-09,medium,medium,6,48900,chore,completed,2025-04-28
2025-04-09,high,medium,5,30400,feature,completed,2025-04-27
2025-04-09,medium,low,4,94700,bug,completed,2025-04-22
2025-04-09,medium,high,7,32600,bug,completed,2025-04-19
2025-04-09,low,low,6,46600,feature,completed,2025-06-08
2025-04-09,medium,medium,10,75800,chore,completed,2025-06-08
2025-04-09,high,medium,7,61100,feature,completed,2025-05-12
2025-04-09,high,medium,8,42100,bug,completed,2025-04-19
2025-04-09,high,medium,4,28700,feature,completed,2025-05-12
2025-04-09,low,high,5,50500,feature,completed,2025-05-04
2025-04-09,low,medium,10,68700,feature,completed,2025-04-25
2025-04-09,high,medium,3,37400,doc,completed,2025-05-02
2025-04-09,medium,low,5,75200,feature,completed,2025-04-18
2025-04-09,medium,medium,8,55300,bug,completed,2025-04-26
2025-04-09,medium,medium,3,62600,bug,completed,2025-06-08
2025-04-09,medium,medium,10,64100,chore,completed,2025-06-08
2025-04-09,medium,medium,3,55400,feature,completed,2025-04-27
2025-04-09,medium,high,3,35500,feature,completed,2025-05-11
2025-04-09,low,medium,6,57500,feature,completed,2025-05-06
2025-04-09,low,medium,5,40700,bug,completed,2025-05-03
2025-04-10,medium,medium,9,60300,chore,completed,2025-04-21
2025-04-10,medium,low,7,32900,feature,completed,2025-04-28
2025-04-10,medium,high,8,41000,feature,completed,2025-05-19
2025-04-10,low,low,9,41500,bug,completed,2025-05-04
2025-04-10,low,medium,5,42400,chore,completed,2025-04-12
2025-04-10,medium,high,6,70700,feature,completed,2025-05-01
2025-04-10,high,medium,7,52800,bug,completed,2025-04-19
2025-04-10,low,high,4,60200,chore,completed,2025-05-12
2025-04-10,medium,high,5,51500,bug,completed,2025-05-13
2025-04-10,medium,medium,5,47300,bug,completed,2025-04-20
2025-04-10,low,high,4,44900,bug,completed,2025-04-17
2025-04-10,high,medium,9,69400,chore,completed,2025-04-26
2025-04-10,low,medium,9,45000,feature,completed,2025-06-09
2025-04-10,medium,low,9,32700,bug,completed,2025-04-18
2025-04-10,medium,medium,9,79000,bug,completed,2025-05-10
2025-04-10,medium,medium,6,38300,bug,completed,2025-04-17
2025-04-10,low,medium,8,68500,bug,completed,2025-05-08
2025-04-10,medium,medium,8,44400,bug,completed,2025-04-15
2025-04-10,medium,medium,4,48800,bug,completed,2025-04-22
2025-04-10,medium,low,5,48200,bug,completed,2025-04-18
2025-04-10,high,high,8,59600,bug,completed,2025-04-27
2025-04-10,medium,low,4,42200,feature,completed,2025-04-14
2025-04-10,low,medium,7,45500,chore,completed,2025-04-18
2025-04-10,medium,low,5,43700,bug,completed,2025-05-11
2025-04-10,low,medium,1,51600,doc,completed,2025-06-09
2025-04-10,medium,high,6,33100,bug,completed,2025-04-16
2025-04-10,medium,low,5,44700,bug,completed,2025-04-21
2025-04-10,high,low,5,41800,feature,completed,2025-05-12
2025-04-10,medium,medium,6,59000,bug,completed,2025-05-15
2025-04-10,high,high,3,60800,bug,completed,2025-04-29
2025-04-10,high,medium,7,35100,doc,completed,2025-04-23
2025-04-10,medium,high,2,68900,feature,completed,2025-04-26
2025-04-11,medium,high,4,88500,feature,completed,2025-05-08
2025-04-11,medium,medium,6,78200,feature,completed,2025-06-10
2025-04-11,high,medium,8,82900,feature,completed,2025-04-22
2025-04-11,low,low,8,46900,feature,completed,2025-05-03
2025-04-11,medium,medium,7,60900,feature,completed,2025-04-14
2025-04-11,high,medium,6,50300,chore,completed,2025-05-04
2025-04-11,high,medium,2,49200,feature,completed,2025-04-25
2025-04-11,medium,medium,9,52900,feature,completed,2025-04-22
2025-04-12,low,medium,7,36000,feature,completed,2025-04-17
2025-04-12,low,low,5,56800,chore,completed,2025-04-16
2025-04-12,medium,medium,5,42100,bug,completed,2025-05-27
2025-04-12,medium,low,7,67200,bug,completed,2025-04-17
2025-04-12,low,medium,6,63400,bug,completed,2025-04-22
2025-04-12,medium,low,8,5000,bug,completed,2025-04-21
2025-04-12,low,high,6,25200,doc,completed,2025-05-02
2025-04-12,high,medium,4,42800,doc,completed,2025-05-07
2025-04-12,medium,medium,5,66700,bug,completed,2025-05-26
2025-04-12,low,medium,11,60300,feature,completed,2025-05-07
2025-04-12,medium,high,4,64000,feature,completed,2025-05-14
2025-04-12,medium,low,9,34000,bug,completed,2025-06-11
2025-04-12,high,medium,6,41300,bug,completed,2025-05-04
2025-04-12,medium,low,6,50000,bug,completed,2025-04-30
2025-04-12,low,high,6,28100,feature,completed,2025-04-25
2025-04-12,low,medium,5,54600,doc,completed,2025-04-28
2025-04-12,medium,medium,7,69600,bug,completed,2025-06-11
2025-04-12,medium,high,8,56100,chore,completed,2025-05-03
2025-04-12,low,high,8,60400,bug,completed,2025-05-03
2025-04-12,medium,low,5,54300,bug,completed,2025-04-25
2025-04-12,low,medium,4,54500,feature,completed,2025-05-05
2025-04-12,medium,medium,3,37400,doc,completed,2025-05-09
2025-04-12,low,low,9,33000,doc,completed,2025-04-25
2025-04-12,medium,low,3,28300,bug,completed,2025-05-04
2025-04-13,medium,medium,7,37200,bug,completed,2025-04-22
2025-04-13,high,medium,9,53700,feature,completed,2025-05-04
2025-04-13,medium,low,6,45400,bug,completed,2025-06-12
2025-04-13,low,high,5,63400,doc,completed,2025-05-14
2025-04-13,high,low,8,38000,bug,completed,2025-05-05
2025-04-13,medium,medium,6,36800,chore,completed,2025-04-21
2025-04-13,low,low,7,43100,bug,completed,2025-05-26
2025-04-13,low,medium,8,53400,feature,completed,2025-05-02
2025-04-13,high,high,8,22600,bug,completed,2025-05-10
2025-04-13,high,medium,1,49000,chore,completed,2025-04-18
2025-04-13,low,medium,8,43400,feature,completed,2025-04-23
2025-04-13,medium,medium,4,77200,bug,completed,2025-05-17
2025-04-13,low,high,5,36200,feature,completed,2025-04-30
2025-04-13,high,high,4,45700,feature,completed,2025-05-10
2025-04-13,medium,medium,3,75200,doc,completed,2025-04-25
2025-04-13,medium,low,7,26500,chore,completed,2025-05-21
2025-04-13,low,medium,5,45300,chore,completed,2025-05-01
2025-04-13,high,low,3,34500,feature,completed,2025-04-25
2025-04-13,medium,low,2,56600,feature,completed,2025-04-22
2025-04-13,medium,medium,5,53800,bug,completed,2025-05-04
2025-04-13,low,medium,7,29700,feature,completed,2025-04-21
2025-04-13,medium,medium,5,65500,bug,completed,2025-04-23
2025-04-13,low,high,4,59400,feature,completed,2025-04-23
2025-04-13,high,low,6,42200,bug,completed,2025-05-04
2025-04-13,high,low,7,45100,chore,completed,2025-05-18
2025-04-13,low,medium,5,64300,feature,completed,2025-05-02
2025-04-13,low,medium,11,62600,bug,completed,2025-04-22
2025-04-14,medium,medium,10,45900,chore,completed,2025-06-01
2025-04-14,medium,medium,4,62100,bug,completed,2025-05-10
2025-04-14,low,medium,5,35300,bug,completed,2025-06-08
2025-04-14,medium,medium,8,50800,chore,completed,2025-04-23
2025-04-14,medium,medium,5,48100,bug,completed,2025-05-06
2025-04-14,high,medium,5,53700,feature,completed,2025-05-19
2025-04-14,high,low,4,67600,chore,completed,2025-06-03
2025-04-14,medium,low,9,45700,chore,completed,2025-04-25
2025-04-14,medium,medium,7,73300,bug,completed,2025-05-02
2025-04-14,medium,medium,4,41100,bug,completed,2025-04-26
2025-04-14,high,low,6,45500,feature,completed,2025-05-13
2025-04-14,low,medium,7,59300,doc,completed,2025-05-17
2025-04-14,low,medium,7,33200,feature,completed,2025-05-03
2025-04-14,medium,medium,5,48400,chore,completed,2025-05-27
2025-04-14,high,low,6,40800,bug,completed,2025-05-25
2025-04-14,low,medium,11,62100,bug,completed,2025-04-17
2025-04-14,low,low,11,38600,chore,completed,2025-05-11
2025-04-14,high,medium,6,53700,bug,completed,2025-05-16
2025-04-14,low,high,6,45900,feature,completed,2025-06-06
2025-04-14,medium,medium,7,53800,bug,completed,2025-04-25
2025-04-14,high,low,7,56900,bug,completed,2025-04-26
2025-04-14,low,medium,6,62400,chore,completed,2025-04-23
2025-04-14,high,medium,9,40200,bug,completed,2025-04-23
2025-04-14,high,high,5,31500,chore,completed,2025-05-09
2025-04-14,high,high,8,60500,doc,completed,2025-05-15
2025-04-14,medium,low,6,45900,feature,completed,2025-04-22
2025-04-14,medium,low,8,34500,feature,completed,2025-05-31
2025-04-14,low,high,9,70300,feature,completed,2025-05-12
2025-04-14,low,medium,8,42000,bug,completed,2025-05-03
2025-04-14,medium,medium,5,86900,chore,completed,2025-05-14
2025-04-14,high,medium,3,53500,feature,completed,2025-05-03
2025-04-14,medium,medium,6,47200,feature,completed,2025-05-16
2025-04-14,medium,medium,2,44800,chore,completed,2025-04-26
2025-04-14,medium,medium,6,47100,chore,completed,2025-05-15
2025-04-14,medium,low,5,67000,chore,completed,2025-05-02
2025-04-14,medium,low,6,45700,bug,completed,2025-05-05
2025-04-14,low,low,5,58500,bug,completed,2025-06-11
2025-04-14,low,medium,5,37000,bug,completed,2025-04-19
2025-04-14,low,high,5,34100,feature,completed,2025-05-22
2025-04-14,high,high,6,34900,feature,completed,2025-05-03
2025-04-14,medium,high,4,35300,feature,completed,2025-05-10
2025-04-14,high,high,5,53200,feature,completed,2025-04-25
2025-04-14,medium,low,7,44000,chore,completed,2025-06-13
2025-04-15,low,low,6,45600,bug,completed,2025-06-04
2025-04-15,medium,low,8,47900,chore,completed,2025-04-27
2025-04-15,medium,low,7,27900,feature,completed,2025-05-12
2025-04-15,low,medium,10,34700,feature,completed,2025-05-03
2025-04-15,medium,medium,4,51400,bug,completed,2025-04-25
2025-04-15,medium,high,4,62000,doc,completed,2025-05-21
2025-04-15,low,low,2,52900,bug,completed,2025-04-28
2025-04-15,medium,high,6,53800,feature,completed,2025-05-05
2025-04-15,high,medium,6,32900,feature,completed,2025-05-01
2025-04-15,high,low,5,56700,feature,completed,2025-05-06
2025-04-15,high,medium,7,70900,bug,completed,2025-05-04
2025-04-15,medium,low,5,53700,bug,completed,2025-05-20
2025-04-15,medium,medium,5,50000,feature,completed,2025-04-25
2025-04-15,low,low,8,40200,feature,completed,2025-06-14
2025-04-15,high,medium,8,47200,chore,completed,2025-04-29
2025-04-15,medium,medium,6,49800,feature,completed,2025-04-27
2025-04-15,medium,high,7,40400,feature,completed,2025-05-06
2025-04-15,medium,high,6,58300,bug,completed,2025-04-30
2025-04-15,low,medium,6,38300,bug,completed,2025-04-23
2025-04-15,low,medium,7,95300,feature,completed,2025-05-16
2025-04-15,medium,low,6,40500,bug,completed,2025-05-01
2025-04-15,low,medium,4,28600,bug,completed,2025-04-28
2025-04-15,low,medium,3,38600,bug,completed,2025-05-05
2025-04-15,medium,medium,6,25300,bug,completed,2025-04-27
2025-04-15,medium,medium,2,50400,bug,completed,2025-05-11
2025-04-15,medium,high,6,53100,bug,completed,2025-05-19
2025-04-15,medium,medium,6,43400,feature,completed,2025-05-06
2025-04-15,medium,low,6,42000,feature,completed,2025-05-10
2025-04-15,medium,medium,9,34700,feature,completed,2025-05-30
2025-04-15,low,high,4,55200,bug,completed,2025-04-28
2025-04-15,high,low,7,50700,feature,completed,2025-05-29
2025-04-15,medium,high,7,61000,feature,completed,2025-05-13
2025-04-15,high,medium,11,24700,bug,completed,2025-05-10
2025-04-15,medium,medium,1,29600,feature,completed,2025-05-17
2025-04-15,low,low,6,49400,feature,completed,2025-04-28
2025-04-15,medium,low,5,33800,feature,completed,2025-06-14
2025-04-15,medium,low,6,47900,feature,completed,2025-05-06
2025-04-15,medium,high,6,63400,feature,completed,2025-05-03
2025-04-15,low,medium,6,49100,bug,completed,2025-05-28
2025-04-15,medium,medium,7,31700,chore,completed,2025-05-28
2025-04-15,low,medium,5,59300,bug,completed,2025-05-01
2025-04-15,medium,high,3,36700,chore,completed,2025-05-09
2025-04-15,high,low,8,7000,bug,completed,2025-04-27
2025-04-15,low,medium,6,56900,feature,completed,2025-05-07
2025-04-15,medium,medium,9,37300,bug,completed,2025-05-07
2025-04-16,medium,medium,7,54900,feature,completed,2025-05-20
